time,Vout

0.000000000000000e+000,0.000000e+000

7.999999968033578e-012,0.000000e+000

1.331339277391396e-010,0.000000e+000

2.368348197314460e-010,0.000000e+000

3.405357117237524e-010,0.000000e+000

4.442366037160589e-010,0.000000e+000

5.479374957083652e-010,0.000000e+000

6.862053516981069e-010,0.000000e+000

8.244732076878486e-010,0.000000e+000

9.627410636775903e-010,0.000000e+000

1.101008919667332e-009,0.000000e+000

1.273843739654509e-009,0.000000e+000

1.446678559641686e-009,0.000000e+000

1.619513379628863e-009,0.000000e+000

1.792348199616041e-009,1.397863e-034

1.826915163613476e-009,3.717248e-019

1.861482127610911e-009,9.885038e-004

1.896049091608347e-009,4.128216e-003

1.930616055605782e-009,8.608435e-003

2.096755865449476e-009,3.116139e-002

2.269590685436653e-009,5.492718e-002

2.476992469421266e-009,8.376689e-002

2.684394253405878e-009,1.128683e-001

2.891796037390491e-009,1.421512e-001

3.133764785372539e-009,1.764558e-001

3.375733533354587e-009,2.108330e-001

3.652269245334070e-009,2.501248e-001

3.825104065321247e-009,2.746503e-001

3.859671029318683e-009,2.786224e-001

3.928804957313554e-009,2.809793e-001

4.654711201259698e-009,2.828636e-001

5.829987977172502e-009,2.783127e-001

7.212666537069919e-009,2.732430e-001

9.355818304910961e-009,2.732732e-001

1.215574238870330e-008,2.748697e-001

1.571613968043919e-008,2.764702e-001

1.692598342034940e-008,2.774301e-001

1.849730630316214e-008,2.780526e-001

1.929234647510314e-008,2.778567e-001

1.984541789906209e-008,2.772630e-001

1.987998486305953e-008,2.751909e-001

2.016985667985445e-008,2.364427e-001

2.096489685179545e-008,1.247691e-001

2.175993702373644e-008,1.159426e-002

2.182907095173131e-008,1.768267e-003

2.186363791572875e-008,-2.081720e-003

2.189820487972618e-008,-3.706616e-003

2.193277184372361e-008,-4.060378e-003

2.203647273571592e-008,-4.724115e-003

2.214017362770822e-008,-5.243983e-003

2.224387451970053e-008,-5.632960e-003

2.234757541169283e-008,-5.903438e-003

2.248584326768257e-008,-6.098002e-003

2.262411112367231e-008,-6.124168e-003

2.276237897966205e-008,-6.002569e-003

2.293521379964922e-008,-5.669830e-003

2.310804861963639e-008,-5.164894e-003

2.328088343962356e-008,-4.514110e-003

2.348828522360817e-008,-3.572474e-003

2.393765575557482e-008,-1.269986e-003

2.414505753955943e-008,-2.815869e-004

2.431789235954660e-008,4.748903e-004

2.449072717953378e-008,1.158165e-003

2.466356199952095e-008,1.758709e-003

2.483639681950812e-008,2.268536e-003

2.500923163949529e-008,2.681027e-003

2.518206645948247e-008,2.990792e-003

2.535490127946964e-008,3.193629e-003

2.552773609945681e-008,3.286033e-003

2.604624055941833e-008,3.224534e-003

2.784372268728493e-008,2.744974e-003

2.901899946319771e-008,2.577537e-003

2.922640124718232e-008,2.558749e-003

3.416947709881588e-008,2.223550e-003

3.959649044641363e-008,1.983548e-003

4.889500376172443e-008,1.708269e-003

4.996657964564500e-008,1.683549e-003

6.033666884487637e-008,1.486710e-003

7.070675804410774e-008,1.341899e-003

8.107684724333911e-008,1.228333e-003

9.144693644257048e-008,1.136646e-003

9.999559009068970e-008,1.073431e-003

1.000000000000000e-007,1.073401e-003

