time,Vout

0.000000000000000e+000,0.000000e+000

7.999999968033578e-012,0.000000e+000

2.569763554249065e-010,0.000000e+000

3.859527113612757e-010,0.000000e+000

5.149290672976449e-010,0.000000e+000

6.439054232340141e-010,0.000000e+000

7.728817791703832e-010,0.000000e+000

9.018581351067524e-010,0.000000e+000

1.030834491043122e-009,0.000000e+000

1.159810846979491e-009,0.000000e+000

1.288787202915861e-009,0.000000e+000

1.417763558852230e-009,0.000000e+000

1.611228092756784e-009,0.000000e+000

1.804692626661338e-009,0.000000e+000

2.012884192922894e-009,0.000000e+000

2.244934092242411e-009,0.000000e+000

3.276744939733363e-009,0.000000e+000

3.857138541447024e-009,0.000000e+000

4.308555787224318e-009,0.000000e+000

4.695484855033428e-009,0.000000e+000

5.082413922842537e-009,0.000000e+000

5.469342990651647e-009,8.542905e-011

5.920760236428941e-009,2.152703e-006

6.178712948301681e-009,3.620523e-005

6.372177482206235e-009,1.272187e-004

6.565642016110790e-009,2.879890e-004

6.759106550015345e-009,5.144530e-004

6.952571083919899e-009,8.078651e-004

7.146035617824454e-009,1.171520e-003

7.339500151729009e-009,1.608371e-003

7.532964685633563e-009,2.120909e-003

7.726429219538117e-009,2.711118e-003

7.984381931410857e-009,3.616854e-003

8.564775533124521e-009,5.915090e-003

9.338633668742740e-009,9.203322e-003

1.030595633826551e-008,1.348150e-002

1.120879082982010e-008,1.746863e-002

1.191816078747014e-008,2.078794e-002

1.294997163496109e-008,2.510805e-002

1.423973519432479e-008,2.991917e-002

1.572296328759302e-008,3.478281e-002

1.739965591476579e-008,3.950947e-002

1.752863227070215e-008,3.984186e-002

1.838164570970024e-008,4.248563e-002

1.921999202328662e-008,4.453691e-002

2.004138369709564e-008,4.626563e-002

2.234261253621741e-008,5.027579e-002

2.389032880745380e-008,5.246807e-002

2.466418694307200e-008,5.304609e-002

2.537355690072202e-008,5.257319e-002

2.608292685837203e-008,5.104041e-002

2.756615495164025e-008,4.626352e-002

2.975875300255848e-008,3.842771e-002

3.162891016363580e-008,3.223193e-002

3.324111461284038e-008,2.753929e-002

3.478883088407678e-008,2.362124e-002

3.614308262140862e-008,2.063382e-002

3.775528707061320e-008,1.750164e-002

3.923851516388142e-008,1.504505e-002

4.078623143511782e-008,1.286850e-002

4.233394770635422e-008,1.101812e-002

4.420410486743153e-008,9.109467e-003

4.575182113866793e-008,7.785780e-003

4.742851376584069e-008,6.586755e-003

4.916969457098164e-008,5.549124e-003

5.103985173205895e-008,4.619416e-003

5.297449707110445e-008,3.831178e-003

5.503811876608631e-008,3.150045e-003

5.548953601186360e-008,3.019560e-003

5.781111041871819e-008,2.429857e-003

6.019717300354103e-008,1.956752e-003

6.284118830023682e-008,1.553919e-003

6.580764448677355e-008,1.212352e-003

6.922551791908761e-008,9.290848e-004

7.328827313108358e-008,6.966593e-004

7.483598940232013e-008,6.303116e-004

8.031748452961627e-008,4.619482e-004

8.786260135189448e-008,3.358004e-004

9.418244279277709e-008,2.791515e-004

9.996275420220348e-008,2.473764e-004

1.000000000000000e-007,2.472119e-004

