time,Vn001

0.000000000000000e+000,0.000000e+000

1.599999993606716e-011,0.000000e+000

2.985024650831218e-010,1.014645e-005

4.743793140872617e-010,6.988123e-005

6.502561630914015e-010,1.899998e-004

8.261330120955412e-010,3.718043e-004

1.002009861099681e-009,6.163561e-004

1.177886710103821e-009,9.245328e-004

1.353763559107960e-009,1.297068e-003

1.529640408112100e-009,1.734583e-003

1.764142873450953e-009,2.419917e-003

2.015172205554174e-009,3.282028e-003

2.360319277699192e-009,4.668984e-003

3.532831604393457e-009,9.680920e-003

4.236339000410016e-009,1.276128e-002

4.822595163757148e-009,1.535117e-002

5.408851327104281e-009,1.795514e-002

5.701979408777847e-009,1.926104e-002

5.936481874116700e-009,2.030726e-002

6.170984339455553e-009,2.135461e-002

6.405486804794406e-009,2.240294e-002

6.639989270133259e-009,2.345211e-002

6.874491735472112e-009,2.450198e-002

7.108994200810965e-009,2.555246e-002

7.343496666149818e-009,2.660342e-002

7.636624747823385e-009,2.791767e-002

8.105629678501091e-009,3.002137e-002

8.691885841848223e-009,3.265175e-002

9.688521319538348e-009,3.712289e-002

1.033340309922019e-008,4.001421e-002

1.133003857691032e-008,4.447839e-002

1.261980213627401e-008,5.024398e-002

1.402681692830713e-008,5.651426e-002

1.555108295300967e-008,6.327993e-002

1.602008788368738e-008,6.535544e-002

1.643046719803037e-008,6.716906e-002

1.719260021038165e-008,7.053130e-002

1.867419458784921e-008,7.683297e-002

1.955357883286990e-008,7.909404e-002

2.049831773884506e-008,7.976680e-002

2.278471677589888e-008,7.973915e-002

2.401585471892786e-008,7.955865e-002

2.477798773127913e-008,7.941635e-002

2.548149512729569e-008,7.926940e-002

2.659538183765524e-008,7.901245e-002

2.882315525837434e-008,7.843257e-002

3.105092867909345e-008,7.779147e-002

3.275107155280013e-008,7.727335e-002

3.327870209981255e-008,7.710854e-002

3.492021935718452e-008,7.658570e-002

3.644448538188707e-008,7.608885e-002

3.796875140658961e-008,7.558352e-002

3.937576619862273e-008,7.511114e-002

4.107590907232941e-008,7.453387e-002

4.254154948069724e-008,7.403233e-002

4.412444112173450e-008,7.348807e-002

4.570733276277176e-008,7.294218e-002

4.734885002014373e-008,7.237514e-002

4.904899289385041e-008,7.178793e-002

5.086638700022652e-008,7.116125e-002

5.291828357194149e-008,7.045590e-002

5.497018014365645e-008,6.975379e-002

5.713932794804084e-008,6.901590e-002

5.960160383409880e-008,6.818442e-002

6.223975656916090e-008,6.730168e-002

6.528828861856599e-008,6.629297e-002

6.845407190064050e-008,6.525907e-002

7.249923942773572e-008,6.395892e-002

7.754104243252106e-008,6.237208e-002

8.422436269467837e-008,6.032658e-002

8.604175680105448e-008,5.978172e-002

9.718062390464999e-008,5.654665e-002

9.997345345136798e-008,5.576311e-002

1.000000000000000e-007,5.575572e-002

