time,Vout

0.000000000000000e+000,0.000000e+000

1.599999993606716e-011,0.000000e+000

8.085371031880475e-010,0.000000e+000

1.002976275673622e-009,0.000000e+000

1.197415448159196e-009,0.000000e+000

1.391854620644770e-009,0.000000e+000

1.586293793130344e-009,0.000000e+000

1.780732965615919e-009,0.000000e+000

2.014269158733732e-009,0.000000e+000

2.244667559824681e-009,0.000000e+000

2.439106732310255e-009,0.000000e+000

2.730765491038616e-009,0.000000e+000

3.314083008495339e-009,0.000000e+000

4.091839698437637e-009,0.000000e+000

5.258474733351087e-009,0.000000e+000

7.202866458206837e-009,0.000000e+000

1.079999114918995e-008,0.000000e+000

1.527209211635813e-008,0.000000e+000

1.809286997671231e-008,0.000000e+000

1.935384911495253e-008,2.248641e-009

2.024304896560697e-008,2.506476e-008

2.170134275924877e-008,2.666951e-007

2.393739324283286e-008,2.329683e-006

2.539568703647466e-008,6.160883e-006

2.763173752005876e-008,1.905409e-005

2.996500758988564e-008,4.620125e-005

3.268715600468376e-008,1.023622e-004

3.628428069566699e-008,2.277846e-004

4.036750331786417e-008,4.496958e-004

4.513126304376088e-008,8.066423e-004

5.388102580561197e-008,1.571044e-003

5.456156290931150e-008,1.628694e-003

6.097805560133555e-008,2.121142e-003

6.720010912087368e-008,2.485028e-003

7.390826057162574e-008,2.737929e-003

7.954699657370717e-008,2.863799e-003

8.372743878214686e-008,2.904352e-003

8.771344181810097e-008,2.927834e-003

9.879647464977828e-008,2.837025e-003

9.995312208874777e-008,2.820761e-003

1.000000000000000e-007,2.820085e-003

