time,Vout

0.000000000000000e+000,0.000000e+000

1.599999993606716e-011,0.000000e+000

3.485783280795861e-010,0.000000e+000

5.596305468845541e-010,0.000000e+000

7.706827656895221e-010,0.000000e+000

9.817349844944901e-010,0.000000e+000

1.192787203299458e-009,0.000000e+000

1.403839422104426e-009,0.000000e+000

1.641273168260015e-009,0.000000e+000

1.878706914415604e-009,0.000000e+000

2.118716873077794e-009,0.000000e+000

2.593584365388968e-009,0.000000e+000

3.464174767959454e-009,0.000000e+000

5.126210991048564e-009,2.843681e-010

6.313379721826500e-009,1.011319e-006

7.368640815851332e-009,1.256014e-005

7.395022343201953e-009,1.317349e-005

8.423901909876194e-009,5.981351e-005

9.452781476550437e-009,1.702543e-004

1.040251646117282e-008,3.489511e-004

1.137863297314582e-008,6.163021e-004

1.240751253982006e-008,9.897932e-004

1.338362905179306e-008,1.444099e-003

1.472908694667476e-008,2.155798e-003

1.530948054838844e-008,2.494996e-003

1.536224360308968e-008,2.543704e-003

1.541500665779092e-008,2.622935e-003

1.554691429454403e-008,2.702052e-003

1.565244040394652e-008,2.785782e-003

1.728809509968506e-008,3.848501e-003

1.800000000000000e-008,4.332408e-003

1.800779555675964e-008,4.452285e-003

1.801818963243915e-008,4.522508e-003

1.817088542055129e-008,4.767626e-003

1.822364847525253e-008,4.883430e-003

1.835555611200564e-008,4.984322e-003

1.846108222140813e-008,5.079238e-003

1.938443567867988e-008,5.686813e-003

2.029018285027369e-008,6.305797e-003

2.290195405798523e-008,8.134359e-003

2.303386169473834e-008,8.225393e-003

2.593582970330672e-008,1.013670e-002

2.770339203579837e-008,1.105997e-002

2.923352062213442e-008,1.161316e-002

3.094831989992468e-008,1.190712e-002

3.271588223241611e-008,1.192068e-002

3.443068151020630e-008,1.173596e-002

3.640929606150267e-008,1.131593e-002

3.886277810511018e-008,1.055819e-002

3.917935643331760e-008,1.054808e-002

4.176474611367819e-008,9.634415e-003

4.664532867354258e-008,7.948771e-003

4.677723631029567e-008,7.905353e-003

4.690914394704876e-008,7.878454e-003

4.706743311115247e-008,7.914659e-003

4.949453362740936e-008,7.090344e-003

4.957367820946121e-008,7.245559e-003

4.973196737356492e-008,7.220572e-003

5.197439719836748e-008,6.429389e-003

5.215906788982181e-008,6.373168e-003

5.223821247187366e-008,6.527192e-003

5.237012010862675e-008,6.479427e-003

5.244926469067861e-008,6.498676e-003

5.429597160522189e-008,5.856468e-003

5.469169451548116e-008,5.741435e-003

5.482360215223425e-008,5.704201e-003

5.484998367958487e-008,5.756804e-003

5.490274673428611e-008,5.947202e-003

5.503465437103920e-008,5.900791e-003

5.511379895309106e-008,5.951073e-003

5.524570658984415e-008,5.887264e-003

5.664392753942692e-008,5.365485e-003

5.748813641464670e-008,5.123001e-003

5.756728099669856e-008,5.246213e-003

5.769918863345165e-008,5.199763e-003

5.777833321550351e-008,5.213191e-003

5.954589554799493e-008,4.687721e-003

6.017905220440991e-008,4.555752e-003

6.025819678646179e-008,4.616203e-003

6.046924900526679e-008,4.630697e-003

6.244786355656366e-008,4.116422e-003

6.260615272066740e-008,4.082028e-003

6.284358646682303e-008,4.050401e-003

6.292273104887490e-008,4.108110e-003

6.313378326767990e-008,4.127142e-003

6.505963476427552e-008,3.670140e-003

6.550812072923615e-008,3.598772e-003

6.561364683863865e-008,3.649595e-003

6.616765891300177e-008,3.555109e-003

6.811989193694802e-008,3.181801e-003

7.052061092585488e-008,2.829481e-003

7.075804467201051e-008,2.797559e-003

7.083718925406238e-008,2.883959e-003

7.096909689081551e-008,2.855077e-003

7.107462300021801e-008,2.861507e-003

7.315876366091738e-008,2.535569e-003

7.344896046177425e-008,2.514168e-003

7.352810504382613e-008,2.565934e-003

7.373915726263113e-008,2.589912e-003

7.577053486862924e-008,2.280282e-003

7.611349472418737e-008,2.255695e-003

7.616625777888862e-008,2.304371e-003

7.632454694299237e-008,2.289881e-003

7.843506913104236e-008,2.023751e-003

7.877802898660049e-008,1.995575e-003

7.904184426010674e-008,2.012634e-003

8.144256324901360e-008,1.772156e-003

8.173276004987048e-008,1.794959e-003

8.410709751142672e-008,1.578966e-003

8.458196500373797e-008,1.568899e-003

8.634952733622984e-008,1.429325e-003

8.943616603625296e-008,1.250518e-003

8.954169214565546e-008,1.263957e-003

9.212708182601670e-008,1.129046e-003

9.262833084567858e-008,1.122943e-003

9.426398554141732e-008,1.030908e-003

9.998542491371879e-008,8.167234e-004

1.000000000000000e-007,8.162342e-004

