time,Vn001

0.000000000000000e+000,0.000000e+000

1.972512323497624e-011,4.490536e-009

2.542275885738293e-010,3.758701e-005

4.828674922792117e-010,1.519640e-004

5.825310400482246e-010,2.266544e-004

6.411566563829380e-010,2.777126e-004

6.997822727176515e-010,3.340704e-004

7.584078890523649e-010,3.957439e-004

8.170335053870784e-010,4.627472e-004

8.756591217217918e-010,5.350929e-004

9.401472996899765e-010,6.208568e-004

1.010498039291631e-009,7.218207e-004

1.086711340526758e-009,8.399332e-004

1.174649765028826e-009,9.875812e-004

1.274313312797837e-009,1.169580e-003

1.385701983833791e-009,1.391462e-003

1.514678339770158e-009,1.672793e-003

1.667104942240411e-009,2.039119e-003

1.672967503873882e-009,2.053942e-003

1.784356174909835e-009,2.346575e-003

2.085007143685333e-009,3.231060e-003

2.425035718426665e-009,4.293813e-003

2.712301238466756e-009,5.198632e-003

2.835415032769652e-009,5.587522e-003

2.888178087470893e-009,5.754364e-003

3.005429320140318e-009,6.125456e-003

3.222344100578754e-009,6.812818e-003

3.415808634483305e-009,7.426497e-003

3.480296812451488e-009,7.631164e-003

3.597548045120913e-009,8.003420e-003

3.966889428029618e-009,9.176483e-003

4.019652482730863e-009,9.344080e-003

4.054827852531693e-009,9.455814e-003

4.131041153766825e-009,9.697919e-003

4.605908646078029e-009,1.120606e-002

4.611771207711501e-009,1.122468e-002

4.623496330978444e-009,1.126190e-002

4.646946577512330e-009,1.133635e-002

4.687984508946632e-009,1.146664e-002

4.775922933448707e-009,1.174580e-002

5.174577124524779e-009,1.301067e-002

5.198027371058666e-009,1.308504e-002

5.250790425759911e-009,1.325234e-002

5.479430329465306e-009,1.397706e-002

5.784283534405832e-009,1.494262e-002

5.801871219306247e-009,1.499830e-002

5.842909150740548e-009,1.512820e-002

5.930847575242623e-009,1.540652e-002

6.382264821019940e-009,1.683404e-002

6.429165314087714e-009,1.698224e-002

6.564004231657562e-009,1.740818e-002

