time,Vn001

0.000000000000000e+000,0.000000e+000

1.599999993606716e-011,0.000000e+000

3.953096672824533e-010,6.290339e-006

6.626193350763692e-010,7.371837e-005

9.299290028702851e-010,2.285981e-004

1.197238670664201e-009,4.739489e-004

1.464548338458117e-009,8.120276e-004

1.731858006252033e-009,1.244646e-003

2.011249704034037e-009,1.796806e-003

2.294453386880997e-009,2.469452e-003

3.185485612860716e-009,4.843804e-003

4.878446842222184e-009,9.587430e-003

6.125891958593791e-009,1.317746e-002

7.106027407171483e-009,1.602939e-002

8.086162855749175e-009,1.889948e-002

8.888091859130923e-009,2.125736e-002

9.422711194718755e-009,2.283288e-002

9.868227307708614e-009,2.414757e-002

1.031374342069847e-008,2.546356e-002

1.075925953368833e-008,2.678064e-002

1.129387886927617e-008,2.836227e-002

1.191760142746197e-008,3.020869e-002

1.263042720824575e-008,3.231993e-002

1.343235621162749e-008,3.469575e-002

1.450159488280316e-008,3.786352e-002

1.548173033138086e-008,4.076631e-002

1.726379478334033e-008,4.603957e-002

1.884409326840703e-008,5.053889e-002

1.973512549438677e-008,5.208543e-002

2.084282787140972e-008,5.268201e-002

2.351592454934893e-008,5.302764e-002

2.618902122728814e-008,5.304702e-002

2.761467278885572e-008,5.299434e-002

2.877301468262938e-008,5.293028e-002

3.002045979900100e-008,5.284462e-002

3.153521458316655e-008,5.272206e-002

3.340638225772400e-008,5.254845e-002

3.616858215826118e-008,5.225820e-002

4.035643362036594e-008,5.176343e-002

4.445518185987273e-008,5.123533e-002

4.775200109599775e-008,5.078859e-002

5.024689132874101e-008,5.044081e-002

5.345460734226806e-008,4.998415e-002

5.657322013319714e-008,4.953240e-002

5.897900714334243e-008,4.918002e-002

6.067196837270385e-008,4.893029e-002

6.352327149583879e-008,4.850733e-002

6.673098750936560e-008,4.802936e-002

6.797843262573714e-008,4.784314e-002

6.895856807431478e-008,4.769666e-002

7.189897442004769e-008,4.725686e-002

7.528489687877043e-008,4.675096e-002

7.697785810813181e-008,4.649853e-002

8.143301923803016e-008,4.583630e-002

8.562087070013461e-008,4.521799e-002

9.114527050120856e-008,4.440995e-002

9.560043163110691e-008,4.376568e-002

9.995583540117494e-008,4.314270e-002

1.000000000000000e-007,4.313643e-002

