time,Vout

0.000000000000000e+000,0.000000e+000

1.599999993606716e-011,0.000000e+000

3.036402568329172e-010,0.000000e+000

4.792805141772971e-010,0.000000e+000

6.549207715216771e-010,0.000000e+000

8.305610288660571e-010,0.000000e+000

1.006201286210437e-009,0.000000e+000

1.181841543554817e-009,0.000000e+000

1.357481800899197e-009,0.000000e+000

1.620942186915767e-009,0.000000e+000

1.912179871327810e-009,0.000000e+000

2.171152023858610e-009,0.000000e+000

2.610252667219560e-009,0.000000e+000

2.873713053236130e-009,0.000000e+000

3.137173439252700e-009,0.000000e+000

3.400633825269270e-009,0.000000e+000

3.664094211285840e-009,0.000000e+000

3.927554597302409e-009,0.000000e+000

4.191014983318977e-009,0.000000e+000

4.454475369335546e-009,7.008881e-032

4.542295498007736e-009,1.022888e-017

4.630115626679925e-009,7.184022e-004

4.717935755352115e-009,5.786170e-003

4.805755884024304e-009,1.956859e-002

4.893576012696494e-009,4.067143e-002

5.157036398713063e-009,1.108552e-001

5.420496784729632e-009,1.806571e-001

5.683957170746200e-009,2.500053e-001

5.947417556762769e-009,3.189051e-001

6.210877942779338e-009,3.873640e-001

6.562158457468096e-009,4.779753e-001

6.649978586140286e-009,5.005120e-001

6.737798714812476e-009,5.174070e-001

6.825618843484665e-009,5.227819e-001

8.582021416928467e-009,5.019677e-001

1.086534476240542e-008,4.780048e-001

1.376340900858770e-008,4.522548e-001

1.516853106734274e-008,4.433565e-001

1.674929338344214e-008,4.433377e-001

1.857974918833198e-008,4.456124e-001

1.937013034638168e-008,4.463335e-001

2.017416406294145e-008,4.469221e-001

2.105236534966334e-008,4.474108e-001

2.184274650771304e-008,4.477260e-001

2.263312766576274e-008,4.473824e-001

2.272094779443493e-008,4.423481e-001

2.280876792310712e-008,4.280673e-001

2.298440818045149e-008,3.831318e-001

2.342350882381244e-008,2.665995e-001

2.412606985318995e-008,8.272874e-002

2.438953023920651e-008,1.456143e-002

2.456517049655089e-008,-3.064832e-002

2.465299062522308e-008,-5.318573e-002

2.474081075389527e-008,-6.988043e-002

2.482863088256746e-008,-7.485498e-002

2.623375294132248e-008,-5.794259e-002

2.746323474273312e-008,-4.432689e-002

2.851707628679939e-008,-3.348894e-002

2.948309770219346e-008,-2.417359e-002

3.036129898891535e-008,-1.618709e-002

3.106386001829286e-008,-1.010140e-002

3.167860091899818e-008,-4.986095e-003

3.211770156235913e-008,-1.448647e-003

3.229334181970351e-008,-7.780321e-005

3.238116194837569e-008,5.662520e-004

3.246898207704788e-008,1.172312e-003

3.255680220572007e-008,1.740821e-003

3.264462233439226e-008,2.270509e-003

3.273244246306445e-008,2.759941e-003

3.282026259173664e-008,3.211122e-003

3.299590284908102e-008,4.003292e-003

3.317154310642539e-008,4.642162e-003

3.334718336376977e-008,5.135096e-003

3.352282362111415e-008,5.479080e-003

3.369846387845853e-008,5.682276e-003

3.387410413580290e-008,5.740894e-003

3.404974439314728e-008,5.662763e-003

3.422538465049166e-008,5.447600e-003

3.492794567986917e-008,4.363498e-003

3.563050670924668e-008,3.425392e-003

3.633306773862419e-008,2.626264e-003

3.703562876800170e-008,1.956551e-003

3.765036966870702e-008,1.468246e-003

3.826511056941234e-008,1.064570e-003

3.887985147011766e-008,7.396417e-004

3.949459237082298e-008,4.879977e-004

4.019715340020049e-008,2.835839e-004

4.089971442957800e-008,1.611055e-004

4.160227545895551e-008,1.139926e-004

4.239265661700521e-008,1.393281e-004

4.476380009115431e-008,3.481300e-004

4.678366305061465e-008,4.279732e-004

4.976954742546907e-008,4.406566e-004

5.872720055003232e-008,4.030581e-004

7.611558602712694e-008,3.772042e-004

9.991484089729189e-008,3.456431e-004

1.000000000000000e-007,3.455415e-004

