time,Vn014

0.000000000000000e+000,0.000000e+000

1.599999993606716e-011,0.000000e+000

1.006906249488537e-009,0.000000e+000

1.299874999488538e-009,0.000000e+000

1.592843749488538e-009,0.000000e+000

1.902343750000000e-009,0.000000e+000

2.194546873465614e-009,0.000000e+000

2.487515623465613e-009,0.000000e+000

2.780484373465613e-009,0.000000e+000

3.757046873465612e-009,0.000000e+000

5.612515623465610e-009,0.000000e+000

8.835171873465619e-009,0.000000e+000

1.420626562346566e-008,1.286533e-005

1.635470312346565e-008,9.783325e-005

1.843945312500000e-008,2.592712e-004

1.951367187499999e-008,3.741870e-004

2.043652343750003e-008,4.904434e-004

2.248730468750001e-008,8.069694e-004

2.473339843749998e-008,1.244927e-003

2.580761718749997e-008,1.487520e-003

2.649121093749997e-008,1.652860e-003

2.795605468749995e-008,2.035383e-003

2.942089843749994e-008,2.455591e-003

3.108105468749997e-008,2.975315e-003

3.293652343750001e-008,3.579028e-003

3.508496093750006e-008,4.270419e-003

3.762402343750013e-008,5.068721e-003

4.104199218750021e-008,6.094799e-003

4.358105468750027e-008,6.815148e-003

4.612011718750033e-008,7.498189e-003

4.865917968750039e-008,8.144070e-003

5.149121093750046e-008,8.821802e-003

5.471386718750054e-008,9.540593e-003

5.578808593750057e-008,9.768293e-003

5.959667968750066e-008,1.052992e-002

6.428417968750077e-008,1.137557e-002

7.033886718750092e-008,1.233172e-002

8.029980468750116e-008,1.361380e-002

8.508496093750128e-008,1.411781e-002

9.738964843750158e-008,1.513432e-002

9.990234375000001e-008,1.529855e-002

1.000000000000000e-007,1.530467e-002

